scheme,category,url,last_verified
HDFC ELSS Tax Saver Fund Direct Plan Growth,ELSS,https://groww.in/mutual-funds/hdfc-elss-tax-saver-fund-direct-plan-growth,2025-11-17
HDFC Flexi Cap Fund Direct Plan Growth,Flexi Cap,https://groww.in/mutual-funds/hdfc-equity-fund-direct-growth,2025-11-17
HDFC Large and Mid Cap Fund Direct Growth,Large & Mid Cap,https://groww.in/mutual-funds/hdfc-large-and-mid-cap-fund-direct-growth,2025-11-17
HDFC Small Cap Fund Direct Growth,Small Cap,https://groww.in/mutual-funds/hdfc-small-cap-fund-direct-growth,2025-11-17
HDFC Multi Cap Fund Direct Growth,Multi Cap,https://groww.in/mutual-funds/hdfc-multi-cap-fund-direct-growth,2025-11-17
Groww Capital Gains Statement Guide,Help Center,https://groww.in/blog/how-to-get-capital-gains-statement-for-mutual-fund-investments,2025-11-17
